,PIT,,2003,2004,2007,2008,2009 Winter,2009 Summer,2010 Winter,2010 Summer,2011 Winter,2011 Summer,2012 Winter,2012 Summer,2013 Winter,2013 Summer,2014 Winter,2014 Summer,,Teeth 1 ,Teeth 2,Teeth 3,,Male,Female,,Summer,Winter,,Weight,
/*,10633380,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,390,;
/*,10634636,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,720,;
/*,10634636,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,NA,;
/*,10634636,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,640,;
/*,10634790,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,,0,1,,1,0,,450,;
/*,10637348,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,640,;
/*,10637348,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,NA,;
/*,10637348,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,540,;
/*,10637348,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,540,;
/*,10637537,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,420,;
/*,10768550,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,500,;
/*,10768809,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,,0,1,,1,0,,460,;
/*,10769833,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,NA,;
/*,10769833,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,690,;
/*,10769833,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,560,;
/*,10769833,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,690,;
